  Act_A      Act_B      Frac_A   Phase_Sep 
    0         100        10.0        1     
    0         100        20.0        1     
    0         100        30.0        1     
    0         100        40.0        1     
    0         100        50.0        1     
    0         100        60.0        0     
    0         100        70.0        0     
    0         100        80.0        0     
    0         100        90.0        0     
    0          10        10.0        0     
    0          10        20.0        0     
    0          10        30.0        0     
    0          10        40.0        0     
    0          10        50.0        0     
    0          10        60.0        0     
    0          10        70.0        0     
    0          10        80.0        0     
    0          10        90.0        0     
    0         110        10.0        1     
    0         110        20.0        1     
    0         110        30.0        1     
    0         110        40.0        1     
    0         110        50.0        1     
    0         110        60.0        1     
    0         110        70.0        0     
    0         110        80.0        0     
    0         110        90.0        0     
    0         120        10.0        1     
    0         120        20.0        1     
    0         120        30.0        1     
    0         120        40.0        1     
    0         120        50.0        1     
    0         120        60.0        1     
    0         120        70.0        0     
    0         120        80.0        0     
    0         120        90.0        0     
    0         130        10.0        1     
    0         130        20.0        1     
    0         130        30.0        1     
    0         130        40.0        1     
    0         130        50.0        1     
    0         130        60.0        1     
    0         130        70.0        0     
    0         130        80.0        0     
    0         130        90.0        0     
    0         140        10.0        1     
    0         140        20.0        1     
    0         140        30.0        1     
    0         140        40.0        1     
    0         140        50.0        1     
    0         140        60.0        1     
    0         140        70.0        0     
    0         140        80.0        0     
    0         140        90.0        0     
    0         150        10.0        1     
    0         150        20.0        1     
    0         150        30.0        1     
    0         150        40.0        1     
    0         150        50.0        1     
    0         150        60.0        1     
    0         150        70.0        1     
    0         150        80.0        0     
    0         150        90.0        0     
    0          20        10.0        0     
    0          20        20.0        0     
    0          20        30.0        0     
    0          20        40.0        0     
    0          20        50.0        0     
    0          20        60.0        0     
    0          20        70.0        0     
    0          20        80.0        0     
    0          20        90.0        0     
    0          30        10.0        0     
    0          30        20.0        0     
    0          30        30.0        0     
    0          30        40.0        0     
    0          30        50.0        0     
    0          30        60.0        0     
    0          30        70.0        0     
    0          30        80.0        0     
    0          30        90.0        0     
    0          40        10.0        0     
    0          40        20.0        0     
    0          40        30.0        0     
    0          40        40.0        0     
    0          40        50.0        0     
    0          40        60.0        0     
    0          40        70.0        0     
    0          40        80.0        0     
    0          40        90.0        0     
    0          50        10.0        0     
    0          50        20.0        0     
    0          50        30.0        0     
    0          50        40.0        0     
    0          50        50.0        0     
    0          50        60.0        0     
    0          50        70.0        0     
    0          50        80.0        0     
    0          50        90.0        0     
    0          60        10.0        1     
    0          60        20.0        1     
    0          60        30.0        0     
    0          60        40.0        0     
    0          60        50.0        0     
    0          60        60.0        0     
    0          60        70.0        0     
    0          60        80.0        0     
    0          60        90.0        0     
    0          70        10.0        1     
    0          70        20.0        1     
    0          70        30.0        0     
    0          70        40.0        0     
    0          70        50.0        0     
    0          70        60.0        0     
    0          70        70.0        0     
    0          70        80.0        0     
    0          70        90.0        0     
    0          80        10.0        1     
    0          80        20.0        1     
    0          80        30.0        1     
    0          80        40.0        1     
    0          80        50.0        0     
    0          80        60.0        0     
    0          80        70.0        0     
    0          80        80.0        0     
    0          80        90.0        0     
    0          90        10.0        1     
    0          90        20.0        1     
    0          90        30.0        1     
    0          90        40.0        1     
    0          90        50.0        1     
    0          90        60.0        0     
    0          90        70.0        0     
    0          90        80.0        0     
    0          90        90.0        0     
   100        110        10.0        1     
   100        110        20.0        1     
   100        110        30.0        1     
   100        110        40.0        1     
   100        110        50.0        1     
   100        110        60.0        1     
   100        110        70.0        1     
   100        110        80.0        1     
   100        110        90.0        1     
   100        120        10.0        1     
   100        120        20.0        1     
   100        120        30.0        1     
   100        120        40.0        1     
   100        120        50.0        1     
   100        120        60.0        1     
   100        120        70.0        1     
   100        120        80.0        1     
   100        120        90.0        1     
   100        130        10.0        1     
   100        130        20.0        1     
   100        130        30.0        1     
   100        130        40.0        1     
   100        130        50.0        1     
   100        130        60.0        1     
   100        130        70.0        1     
   100        130        80.0        1     
   100        130        90.0        1     
   100        140        10.0        1     
   100        140        20.0        1     
   100        140        30.0        1     
   100        140        40.0        1     
   100        140        50.0        1     
   100        140        60.0        1     
   100        140        70.0        1     
   100        140        80.0        1     
   100        140        90.0        1     
   100        150        10.0        1     
   100        150        20.0        1     
   100        150        30.0        1     
   100        150        40.0        1     
   100        150        50.0        1     
   100        150        60.0        1     
   100        150        70.0        1     
   100        150        80.0        1     
   100        150        90.0        1     
    10        100        10.0        1     
    10        100        20.0        1     
    10        100        30.0        1     
    10        100        40.0        1     
    10        100        50.0        1     
    10        100        60.0        0     
    10        100        70.0        0     
    10        100        80.0        0     
    10        100        90.0        0     
    10        110        10.0        1     
    10        110        20.0        1     
    10        110        30.0        1     
    10        110        40.0        1     
    10        110        50.0        1     
    10        110        60.0        1     
    10        110        70.0        0     
    10        110        80.0        0     
    10        110        90.0        0     
    10        120        10.0        1     
    10        120        20.0        1     
    10        120        30.0        1     
    10        120        40.0        1     
    10        120        50.0        1     
    10        120        60.0        1     
    10        120        70.0        0     
    10        120        80.0        0     
    10        120        90.0        0     
    10        130        10.0        1     
    10        130        20.0        1     
    10        130        30.0        1     
    10        130        40.0        1     
    10        130        50.0        1     
    10        130        60.0        1     
    10        130        70.0        0     
    10        130        80.0        0     
    10        130        90.0        0     
    10        140        10.0        1     
    10        140        20.0        1     
    10        140        30.0        1     
    10        140        40.0        1     
    10        140        50.0        1     
    10        140        60.0        1     
    10        140        70.0        0     
    10        140        80.0        0     
    10        140        90.0        0     
    10        150        10.0        1     
    10        150        20.0        1     
    10        150        30.0        1     
    10        150        40.0        1     
    10        150        50.0        1     
    10        150        60.0        1     
    10        150        70.0        1     
    10        150        80.0        0     
    10        150        90.0        0     
    10         20        10.0        0     
    10         20        20.0        0     
    10         20        30.0        0     
    10         20        40.0        0     
    10         20        50.0        0     
    10         20        60.0        0     
    10         20        70.0        0     
    10         20        80.0        0     
    10         20        90.0        0     
    10         30        10.0        0     
    10         30        20.0        0     
    10         30        30.0        0     
    10         30        40.0        0     
    10         30        50.0        0     
    10         30        60.0        0     
    10         30        70.0        0     
    10         30        80.0        0     
    10         30        90.0        0     
    10         40        10.0        0     
    10         40        20.0        0     
    10         40        30.0        0     
    10         40        40.0        0     
    10         40        50.0        0     
    10         40        60.0        0     
    10         40        70.0        0     
    10         40        80.0        0     
    10         40        90.0        0     
    10         50        10.0        1     
    10         50        20.0        0     
    10         50        30.0        0     
    10         50        40.0        0     
    10         50        50.0        0     
    10         50        60.0        0     
    10         50        70.0        0     
    10         50        80.0        0     
    10         50        90.0        0     
    10         60        10.0        1     
    10         60        20.0        1     
    10         60        30.0        0     
    10         60        40.0        0     
    10         60        50.0        0     
    10         60        60.0        0     
    10         60        70.0        0     
    10         60        80.0        0     
    10         60        90.0        0     
    10         70        10.0        1     
    10         70        20.0        1     
    10         70        30.0        1     
    10         70        40.0        0     
    10         70        50.0        0     
    10         70        60.0        0     
    10         70        70.0        0     
    10         70        80.0        0     
    10         70        90.0        0     
    10         80        10.0        1     
    10         80        20.0        1     
    10         80        30.0        1     
    10         80        40.0        1     
    10         80        50.0        0     
    10         80        60.0        0     
    10         80        70.0        0     
    10         80        80.0        0     
    10         80        90.0        0     
    10         90        10.0        1     
    10         90        20.0        1     
    10         90        30.0        1     
    10         90        40.0        1     
    10         90        50.0        1     
    10         90        60.0        0     
    10         90        70.0        0     
    10         90        80.0        0     
    10         90        90.0        0     
   110        120        10.0        1     
   110        120        20.0        1     
   110        120        30.0        1     
   110        120        40.0        1     
   110        120        50.0        1     
   110        120        60.0        1     
   110        120        70.0        1     
   110        120        80.0        1     
   110        120        90.0        1     
   110        130        10.0        1     
   110        130        20.0        1     
   110        130        30.0        1     
   110        130        40.0        1     
   110        130        50.0        1     
   110        130        60.0        1     
   110        130        70.0        1     
   110        130        80.0        1     
   110        130        90.0        1     
   110        140        10.0        1     
   110        140        20.0        1     
   110        140        30.0        1     
   110        140        40.0        1     
   110        140        50.0        1     
   110        140        60.0        1     
   110        140        70.0        1     
   110        140        80.0        1     
   110        140        90.0        1     
   110        150        10.0        1     
   110        150        20.0        1     
   110        150        30.0        1     
   110        150        40.0        1     
   110        150        50.0        1     
   110        150        60.0        1     
   110        150        70.0        1     
   110        150        80.0        1     
   110        150        90.0        1     
   120        130        10.0        1     
   120        130        20.0        1     
   120        130        30.0        1     
   120        130        40.0        1     
   120        130        50.0        1     
   120        130        60.0        1     
   120        130        70.0        1     
   120        130        80.0        1     
   120        130        90.0        1     
   120        140        10.0        1     
   120        140        20.0        1     
   120        140        30.0        1     
   120        140        40.0        1     
   120        140        50.0        1     
   120        140        60.0        1     
   120        140        70.0        1     
   120        140        80.0        1     
   120        140        90.0        1     
   120        150        10.0        1     
   120        150        20.0        1     
   120        150        30.0        1     
   120        150        40.0        1     
   120        150        50.0        1     
   120        150        60.0        1     
   120        150        70.0        1     
   120        150        80.0        1     
   120        150        90.0        1     
   130        140        10.0        1     
   130        140        20.0        1     
   130        140        30.0        1     
   130        140        40.0        1     
   130        140        50.0        1     
   130        140        60.0        1     
   130        140        70.0        1     
   130        140        80.0        1     
   130        140        90.0        1     
   130        150        10.0        1     
   130        150        20.0        1     
   130        150        30.0        1     
   130        150        40.0        1     
   130        150        50.0        1     
   130        150        60.0        1     
   130        150        70.0        1     
   130        150        80.0        1     
   130        150        90.0        1     
   140        150        10.0        1     
   140        150        20.0        1     
   140        150        30.0        1     
   140        150        40.0        1     
   140        150        50.0        1     
   140        150        60.0        1     
   140        150        70.0        1     
   140        150        80.0        1     
   140        150        90.0        1     
    20        100        10.0        1     
    20        100        20.0        1     
    20        100        30.0        1     
    20        100        40.0        1     
    20        100        50.0        1     
    20        100        60.0        0     
    20        100        70.0        0     
    20        100        80.0        0     
    20        100        90.0        0     
    20        110        10.0        1     
    20        110        20.0        1     
    20        110        30.0        1     
    20        110        40.0        1     
    20        110        50.0        1     
    20        110        60.0        1     
    20        110        70.0        0     
    20        110        80.0        0     
    20        110        90.0        0     
    20        120        10.0        1     
    20        120        20.0        1     
    20        120        30.0        1     
    20        120        40.0        1     
    20        120        50.0        1     
    20        120        60.0        1     
    20        120        70.0        0     
    20        120        80.0        0     
    20        120        90.0        0     
